@relation gps_clustered

@attribute Instance_number numeric
@attribute udid string
@attribute jingdu numeric
@attribute weidu numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
145,547a782d1e6b2938cbee4f8c606537d9,0.363308,0.666393,cluster7
146,560d2aa3188d21a9d0e35491b22e5477,0.357881,0.674655,cluster10
147,560d2aa3188d21a9d0e35491b22e5477,0.357881,0.674655,cluster10
148,560d2aa3188d21a9d0e35491b22e5477,0.357881,0.674655,cluster10
149,560d2aa3188d21a9d0e35491b22e5477,0.357881,0.674655,cluster10
150,560d2aa3188d21a9d0e35491b22e5477,0.35787,0.674669,cluster10
151,58b388c3179987e753c113bd695e5a7b,0.510882,0.492072,cluster8
152,58b388c3179987e753c113bd695e5a7b,0.510877,0.492078,cluster8
153,58b388c3179987e753c113bd695e5a7b,0.510891,0.492063,cluster8
154,5a48d660dcaccb01eea865d64dd8647f,0.358472,0.670098,cluster10
155,5a48d660dcaccb01eea865d64dd8647f,0.35845,0.670098,cluster10
156,5a48d660dcaccb01eea865d64dd8647f,0.358458,0.670098,cluster10
157,5a87ad37965afc251e9a540619fe6bb7,0.50834,0.696419,cluster3
158,64833bcaa8329c00a8fd77851da8a5f6,0.475444,0.673111,cluster3
159,64833bcaa8329c00a8fd77851da8a5f6,0.475442,0.67311,cluster3
160,703b6dddcc4913861edbb0a5a980b9e2,0.461476,0.645889,cluster6
161,703b6dddcc4913861edbb0a5a980b9e2,0.461476,0.645889,cluster6
162,703b6dddcc4913861edbb0a5a980b9e2,0.461476,0.645889,cluster6
163,71daa39f8b73b10a27b72886b82c2286,0.324391,0.674103,cluster10
164,71daa39f8b73b10a27b72886b82c2286,0.324391,0.674106,cluster10
165,71daa39f8b73b10a27b72886b82c2286,0.324397,0.674078,cluster10
166,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358149,0.670641,cluster10
167,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358127,0.670645,cluster10
168,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358116,0.670646,cluster10
169,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358133,0.670653,cluster10
170,7270bfb8ef40d9f2a8af87093d71e44f,0.355668,0.67606,cluster10
171,7270bfb8ef40d9f2a8af87093d71e44f,0.355673,0.676059,cluster10
172,64833bcaa8329c00a8fd77851da8a5f6,0.475397,0.672901,cluster3
173,64833bcaa8329c00a8fd77851da8a5f6,0.475386,0.672904,cluster3
174,696a134e870997080a96e872a3a4308e,0.393673,0.651108,cluster5
175,696a134e870997080a96e872a3a4308e,0.393534,0.651318,cluster5
176,69d78ddc08f5c0254f3fc870cda38d33,0.257377,0.601508,cluster1
177,69d78ddc08f5c0254f3fc870cda38d33,0.257379,0.601508,cluster1
178,69d78ddc08f5c0254f3fc870cda38d33,0.257392,0.601508,cluster1
179,69d78ddc08f5c0254f3fc870cda38d33,0.257346,0.601495,cluster1
180,6aa5112c0c4e13d627aa05e269b3e7f4,0.357613,0.672406,cluster10
181,6af6a50e851441e37bea04a88e6431e3,0.367834,0.633624,cluster7
182,6e6714c36ecb4c4cf8addb3593731354,0.488802,0.687427,cluster3
183,6e6714c36ecb4c4cf8addb3593731354,0.488829,0.687429,cluster3
184,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358112,0.670649,cluster10
185,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358134,0.670653,cluster10
186,7270bfb8ef40d9f2a8af87093d71e44f,0.355672,0.67606,cluster10
187,7270bfb8ef40d9f2a8af87093d71e44f,0.355675,0.676059,cluster10
188,7270bfb8ef40d9f2a8af87093d71e44f,0.355667,0.67606,cluster10
189,7270bfb8ef40d9f2a8af87093d71e44f,0.35564,0.676019,cluster10
190,7270bfb8ef40d9f2a8af87093d71e44f,0.355658,0.676061,cluster10
191,655fa86468303ed2910e8fabc5fb0def,0.449834,0.675449,cluster6
192,655fa86468303ed2910e8fabc5fb0def,0.44985,0.675459,cluster6
193,6654ee124b11d50cc1d5eca702a0f4a2,0.339455,0.624432,cluster2
194,6e64fc44de9aa539539ee3d20e92c878,0.456423,0.656294,cluster6
195,6e64fc44de9aa539539ee3d20e92c878,0.456461,0.656312,cluster6
196,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358167,0.670672,cluster10
197,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358134,0.670654,cluster10
198,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358106,0.670649,cluster10
199,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358104,0.670648,cluster10
200,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358134,0.670653,cluster10
201,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358146,0.67066,cluster10
202,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358154,0.670665,cluster10
203,721c909d3c5fd6e67a5ecc7ad5475e9c,0.35816,0.670668,cluster10
204,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358134,0.670654,cluster10
205,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358123,0.670651,cluster10
206,721c909d3c5fd6e67a5ecc7ad5475e9c,0.358116,0.67065,cluster10
207,7270bfb8ef40d9f2a8af87093d71e44f,0.355679,0.676059,cluster10
208,7270bfb8ef40d9f2a8af87093d71e44f,0.355679,0.676059,cluster10
